"NOC","Gold","Silver","Bronze"
"GER",30,18,18
"USA",11,21,20
"SWE",17,12,14
"FRA",15,15,12
"GBR",11,11,13
"NED",10,13,3
"FRG",11,5,9
"ITA",7,9,7
"SUI",5,10,8
"URS",6,5,4
"AUS",6,3,3
"BEL",5,2,6
"NZL",3,2,5
"CAN",2,2,3
"MEX",2,1,4
"POL",1,3,2
"DEN",0,4,2
"ESP",1,2,1
"AUT",1,1,1
"BRA",1,0,2
"CHI",0,2,0
"POR",0,0,3
"ROU",0,1,1
"JPN",1,0,0
"KSA",0,0,2
"TCH",1,0,0
"ARG",0,1,0
"BUL",0,1,0
"NOR",0,1,0
"HUN",0,0,1
"IRL",0,0,1
