"NOC","Gold","Silver","Bronze"
"RUS",10,4,2
"BLR",0,4,2
"UKR",1,0,4
"BUL",0,2,2
"ESP",1,2,0
"EUN",1,0,1
"URS",1,0,1
"ITA",0,1,1
"CAN",1,0,0
"CHN",0,1,0
"ROU",0,1,0
"FRG",0,0,1
"GRE",0,0,1
