"NOC","Gold","Silver","Bronze"
"USA",23,2,3
"URS",4,4,4
"YUG",1,4,2
"ESP",0,4,1
"AUS",0,3,2
"BRA",0,1,4
"FRA",0,3,0
"ARG",1,0,1
"ITA",0,2,0
"LTU",0,0,3
"RUS",0,0,3
"BUL",0,1,1
"CHN",0,1,1
"SRB",0,1,1
"EUN",1,0,0
"URU",0,0,2
"CAN",0,1,0
"CRO",0,1,0
"KOR",0,1,0
"SCG",0,1,0
"CUB",0,0,1
"MEX",0,0,1
