"NOC","Gold","Silver","Bronze"
"USA",15,16,18
"RUS",15,9,3
"URS",10,9,5
"CAN",4,11,10
"AUT",7,9,4
"GBR",5,3,7
"GER",4,4,3
"SWE",5,3,2
"FRA",3,2,7
"GDR",3,3,4
"NOR",3,2,1
"CHN",1,2,4
"EUN",3,1,1
"JPN",2,2,1
"HUN",0,2,4
"TCH",1,1,3
"NED",1,2,0
"SUI",0,2,1
"FIN",1,1,0
"KOR",1,1,0
"BEL",1,0,1
"UKR",1,0,1
"FRG",0,0,2
"ITA",0,0,2
"KAZ",0,0,1
