"NOC","Gold","Silver","Bronze"
"USA",10,5,9
"SUI",7,2,3
"FRA",3,3,4
"CAN",3,2,2
"RUS",2,2,1
"AUT",1,1,4
"GER",1,3,1
"NOR",0,3,1
"FIN",0,2,1
"JPN",0,2,1
"AUS",1,1,0
"ITA",0,1,1
"SLO",0,1,1
"CZE",1,0,0
"NED",1,0,0
"SVK",0,1,0
"SWE",0,1,0
"GBR",0,0,1
