"NOC","Gold","Silver","Bronze"
"NOR",33,35,29
"SWE",29,22,23
"FIN",20,24,32
"URS",25,22,21
"RUS",14,10,9
"ITA",9,12,13
"GER",2,9,4
"EUN",3,2,4
"CZE",1,5,3
"EST",4,2,1
"SUI",3,0,4
"POL",2,1,2
"AUT",1,2,2
"GDR",2,1,1
"KAZ",1,2,1
"CAN",2,1,0
"TCH",0,1,4
"FRA",0,1,1
"SLO",0,0,2
"USA",0,1,0
"BUL",0,0,1
