"NOC","Gold","Silver","Bronze"
"SUI",9,11,11
"USA",7,7,10
"GER",10,5,6
"GDR",5,5,3
"ITA",4,4,4
"CAN",4,2,1
"FRG",1,3,2
"RUS",2,1,1
"GBR",1,1,2
"AUT",1,2,0
"URS",1,0,2
"BEL",0,1,1
"LAT",0,1,0
"FRA",0,0,1
"ROU",0,0,1
