"NOC","Gold","Silver","Bronze"
"HUN",9,8,5
"SWE",9,7,5
"URS",5,5,5
"USA",0,6,3
"GBR",2,2,3
"ITA",2,2,3
"RUS",4,1,0
"POL",3,0,1
"LTU",1,2,1
"FIN",0,1,4
"GER",2,0,1
"FRA",0,1,2
"CZE",1,0,1
"EUN",0,1,1
"TCH",0,1,1
"UKR",0,1,1
"AUS",1,0,0
"KAZ",1,0,0
"CHN",0,1,0
"LAT",0,1,0
"BLR",0,0,1
"BRA",0,0,1
"MEX",0,0,1
