"NOC","Gold","Silver","Bronze"
"URS",7,4,1
"BRA",5,3,2
"USA",3,3,4
"JPN",3,3,3
"CHN",3,1,2
"RUS",1,3,2
"CUB",3,0,2
"ITA",0,3,3
"POL",1,0,2
"NED",1,1,0
"GDR",0,2,0
"SCG",1,0,1
"BUL",0,1,1
"TCH",0,1,1
"EUN",0,1,0
"PER",0,1,0
"SRB",0,1,0
"ARG",0,0,1
"KOR",0,0,1
"PRK",0,0,1
"ROU",0,0,1
