"NOC","Gold","Silver","Bronze"
"CHN",18,8,14
"INA",7,6,6
"KOR",6,7,6
"MAS",0,6,2
"DEN",1,3,4
"JPN",1,1,1
"GBR",0,1,2
"IND",0,1,1
"ESP",1,0,0
"NED",0,1,0
"RUS",0,0,1
