"NOC","Gold","Silver","Bronze"
"NOR",13,9,8
"FIN",4,8,2
"AUT",3,2,8
"GER",3,4,4
"GDR",3,0,4
"JPN",2,2,0
"FRA",2,1,1
"USA",1,3,0
"SUI",1,2,1
"FRG",2,1,0
"URS",0,1,2
"SWE",0,1,1
"ITA",0,0,1
"POL",0,0,1
"RUS",0,0,1
