"NOC","Gold","Silver","Bronze"
"KOR",23,9,7
"USA",14,10,9
"FRA",7,11,7
"BEL",11,7,3
"CHN",1,6,2
"GBR",2,2,5
"ITA",2,2,3
"URS",1,3,3
"JPN",0,3,2
"FIN",1,1,2
"UKR",1,1,2
"AUS",1,0,2
"GER",0,2,1
"TPE",0,1,2
"NED",1,0,1
"SWE",0,2,0
"MEX",0,1,1
"POL",0,1,1
"RUS",0,1,1
"ESP",1,0,0
"EUN",0,0,2
"INA",0,1,0
