"NOC","Gold","Silver","Bronze"
"GBR",2,2,1
"SWE",2,0,1
"USA",1,1,1
"GER",1,0,1
"DEN",1,0,0
"COL",0,1,0
"FRA",0,1,0
"GRE",0,1,0
"NED",0,1,0
"BEL",0,0,1
