"NOC","Gold","Silver","Bronze"
"BRA",3,7,3
"USA",6,2,2
"GER",2,0,1
"AUS",1,0,1
"CHN",0,1,1
"ESP",0,1,0
"ITA",0,1,0
"CAN",0,0,1
"LAT",0,0,1
"NED",0,0,1
"SUI",0,0,1
