"NOC","Gold","Silver","Bronze"
"CHN",3,2,6
"CAN",2,3,2
"RUS",2,2,0
"UKR",1,1,0
"GER",1,0,1
"BLR",1,0,0
"AUS",0,1,0
"GBR",0,1,0
"UZB",0,0,1
