"NOC","Gold","Silver","Bronze"
"CAN",5,3,2
"SWE",2,2,2
"SUI",1,2,2
"GBR",2,1,1
"NOR",1,1,1
"DEN",0,1,0
"FIN",0,1,0
"CHN",0,0,1
"FRA",0,0,1
"USA",0,0,1
