"NOC","Gold","Silver","Bronze"
"CAN",13,5,2
"USA",3,11,2
"URS",7,1,1
"SWE",2,4,5
"TCH",0,4,4
"FIN",0,2,6
"CZE",1,0,1
"GBR",1,0,1
"SUI",0,0,3
"RUS",0,1,1
"EUN",1,0,0
"FRG",0,0,1
"GER",0,0,1
