"NOC","Gold","Silver","Bronze"
"GER",8,7,9
"ITA",5,7,2
"FRA",4,4,5
"USA",4,5,0
"GBR",3,5,1
"AUT",3,3,3
"POL",3,2,3
"DEN",0,5,4
"SUI",2,4,1
"BEL",2,1,5
"FIN",3,1,1
"NED",2,1,3
"HUN",1,2,1
"SWE",2,0,2
"LUX",2,1,0
"IRL",0,1,2
"TCH",0,1,2
"CAN",0,1,1
"RSA",0,1,1
"GRE",1,0,0
"JPN",0,0,2
"NOR",0,1,0
"MON",0,0,1
