"NOC","Gold","Silver","Bronze"
"KOR",21,12,9
"CHN",9,13,8
"CAN",8,11,9
"USA",4,6,9
"ITA",1,3,4
"RUS",3,1,1
"BUL",0,2,1
"JPN",1,0,2
"AUS",1,0,1
"EUN",0,0,1
"GBR",0,0,1
"NED",0,0,1
"PRK",0,0,1
