"NOC","Gold","Silver","Bronze"
"NED",35,36,34
"NOR",25,28,27
"USA",29,19,16
"URS",23,16,19
"GER",14,16,10
"CAN",8,12,15
"GDR",8,12,9
"FIN",7,8,9
"SWE",7,4,5
"JPN",1,5,9
"RUS",3,5,5
"KOR",4,4,1
"CHN",1,3,3
"CZE",3,1,1
"AUT",1,2,3
"POL",1,2,3
"FRG",3,0,0
"ITA",2,0,1
"BLR",0,1,0
"PRK",0,1,0
"BEL",0,0,1
"KAZ",0,0,1
