"NOC","Gold","Silver","Bronze"
"KOR",2,4,1
"URS",4,1,1
"NOR",2,2,2
"YUG",3,1,1
"DEN",4,0,0
"FRA",2,2,1
"RUS",2,1,1
"SWE",0,4,0
"CRO",2,0,1
"GDR",1,1,1
"GER",1,1,1
"ROU",0,1,3
"ESP",0,0,4
"HUN",0,1,2
"EUN",1,0,1
"AUT",0,1,0
"FRG",0,1,0
"ISL",0,1,0
"MNE",0,1,0
"TCH",0,1,0
"CHN",0,0,1
"POL",0,0,1
"SUI",0,0,1
"UKR",0,0,1
