"NOC","Gold","Silver","Bronze"
"GBR",2,1,2
"SUI",2,1,2
"AUS",1,2,2
"NZL",1,1,1
"CAN",1,1,0
"GER",1,1,0
"USA",1,0,1
"AUT",1,0,0
"ESP",0,1,0
"POR",0,1,0
"SWE",0,1,0
"CZE",0,0,1
"RSA",0,0,1
