"NOC","Gold","Silver","Bronze"
"NOR",9,9,12
"FIN",10,8,4
"AUT",6,9,10
"GER",6,3,2
"JPN",3,5,3
"POL",3,3,1
"GDR",2,3,2
"SUI",4,1,0
"TCH",1,2,4
"SLO",0,1,2
"SWE",0,1,1
"YUG",0,1,1
"URS",1,0,0
"FRA",0,0,1
"USA",0,0,1
