"NOC","Gold","Silver","Bronze"
"ITA",49,44,34
"FRA",45,42,36
"HUN",37,23,28
"URS",18,15,16
"GER",8,10,11
"RUS",13,5,8
"USA",4,11,17
"POL",4,9,9
"FRG",7,8,1
"ROU",4,5,7
"CHN",4,7,3
"BEL",5,3,5
"CUB",5,3,3
"KOR",4,2,5
"GBR",1,9,0
"GRE",3,3,2
"SUI",1,4,3
"SWE",2,3,2
"AUT",1,1,5
"NED",0,1,7
"UKR",2,1,3
"DEN",1,2,3
"EUN",1,2,2
"JPN",0,2,0
"BOH",0,0,2
"VEN",1,0,0
"EGY",0,1,0
"GDR",0,1,0
"MEX",0,1,0
"NOR",0,1,0
"ARG",0,0,1
"ESP",0,0,1
"POR",0,0,1
"TUN",0,0,1
