"NOC","Gold","Silver","Bronze"
"GER",16,20,9
"NOR",15,12,8
"RUS",10,6,8
"URS",9,5,5
"FRA",6,5,9
"GDR",3,4,4
"SWE",3,1,6
"BLR",3,2,3
"EUN",2,2,2
"FIN",0,4,2
"FRG",1,2,2
"AUT",0,3,2
"CZE",0,3,2
"SVK",2,1,1
"UKR",1,1,3
"CAN",2,0,1
"ITA",0,1,3
"BUL",1,0,1
"KAZ",0,1,0
"POL",0,1,0
"SUI",0,1,0
"CRO",0,0,1
"SLO",0,0,1
