"NOC","Gold","Silver","Bronze"
"USA",48,43,44
"CHN",40,19,10
"GER",6,10,10
"SWE",6,8,7
"RUS",4,8,6
"URS",4,4,6
"MEX",1,7,6
"AUS",3,3,7
"ITA",3,5,3
"CAN",1,4,8
"GBR",1,3,6
"GDR",2,2,3
"EUN",0,2,1
"TCH",1,1,0
"DEN",1,0,1
"EGY",0,1,1
"MAS",0,1,1
"GRE",1,0,0
"UKR",0,0,2
"FRA",0,1,0
"AUT",0,0,1
