"NOC","Gold","Silver","Bronze"
"AUT",34,39,41
"SUI",20,19,19
"USA",16,19,9
"FRA",15,15,15
"GER",14,8,9
"ITA",13,9,8
"NOR",10,9,10
"SWE",5,2,9
"CRO",4,6,0
"CAN",4,1,6
"FRG",3,5,1
"LIE",2,2,5
"SLO",2,2,3
"ESP",1,0,1
"LUX",0,2,0
"YUG",0,2,0
"FIN",0,1,0
"JPN",0,1,0
"NZL",0,1,0
"RUS",0,1,0
"AUS",0,0,1
"CZE",0,0,1
"TCH",0,0,1
"URS",0,0,1
