"NOC","Gold","Silver","Bronze"
"GBR",18,15,13
"USA",21,7,11
"FRA",8,9,8
"ESP",2,7,3
"GER",3,6,2
"GRE",1,5,3
"RUS",3,3,2
"RSA",3,2,1
"SWE",0,3,5
"AUS",1,1,4
"CZE",0,2,4
"SUI",2,2,0
"CHI",2,1,1
"ARG",0,2,3
"TCH",1,1,2
"BOH",0,0,4
"JPN",0,2,1
"BEL",1,0,1
"BLR",1,0,1
"CHN",1,0,1
"CRO",0,0,3
"FRG",1,0,1
"NED",0,1,1
"CAN",1,0,0
"EUN",0,0,2
"PUR",1,0,0
"AUT",0,1,0
"DEN",0,1,0
"ROU",0,1,0
"ANZ",0,0,1
"BUL",0,0,1
"HUN",0,0,1
"IND",0,0,1
"ITA",0,0,1
"NOR",0,0,1
"SRB",0,0,1
