"NOC","Gold","Silver","Bronze"
"USA",8,7,6
"CAN",8,7,3
"FRA",2,4,6
"AUS",3,2,2
"CHN",1,4,3
"NOR",2,2,4
"BLR",3,1,2
"SUI",3,0,1
"FIN",1,2,1
"RUS",0,1,3
"JPN",1,0,2
"SWE",0,1,1
"CZE",1,0,0
"UZB",1,0,0
"AUT",0,1,0
"EUN",0,1,0
"GER",0,1,0
