"NOC","Gold","Silver","Bronze"
"GER",17,11,8
"GDR",13,8,8
"AUT",5,7,7
"ITA",7,4,6
"FRG",1,4,5
"URS",1,2,3
"USA",0,2,3
"LAT",0,1,3
"RUS",0,3,0
