"NOC","Gold","Silver","Bronze"
"USA",3,4,1
"GBR",2,1,3
"CAN",2,1,1
"RUS",1,0,2
"SUI",1,0,2
"LAT",0,2,0
"GER",0,1,1
"ITA",1,0,0
"AUT",0,1,0
